date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:13:56	22506/22506	---M-Z	200	added ('OK')	text/html	etag:W/%225c7ebadd-57ea%22	https://rjsalas91.github.io/	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/index.html	(from )
13:13:56	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	https://rjsalas91.github.io/robots.txt		(from )
13:13:56	9903/9903	---M--	200	added ('OK')	image/jpeg	etag:%225c7ebadd-26af%22	https://rjsalas91.github.io/img/yo.jpg	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/yo.jpg	(from https://rjsalas91.github.io/)
13:13:56	489/489	---M--	200	added ('OK')	image/png	etag:%225c7ebadd-1e9%22	https://rjsalas91.github.io/img/favicon.png	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/favicon.png	(from https://rjsalas91.github.io/)
13:13:57	1258/1258	---M--	200	added ('OK')	image/png	etag:%225c7ebadd-4ea%22	https://rjsalas91.github.io/img/apple-touch-icon.png	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/apple-touch-icon.png	(from https://rjsalas91.github.io/)
13:13:57	140936/140936	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-22688%22	https://rjsalas91.github.io/lib/bootstrap/css/bootstrap.min.css	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/bootstrap/css/bootstrap.min.css	(from https://rjsalas91.github.io/)
13:13:57	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-7918%22	https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css	(from https://rjsalas91.github.io/)
13:13:57	57987/57987	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-e283%22	https://rjsalas91.github.io/lib/animate/animate.min.css	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/animate/animate.min.css	(from https://rjsalas91.github.io/)
13:13:57	51284/51284	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-c854%22	https://rjsalas91.github.io/lib/ionicons/css/ionicons.min.css	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/ionicons/css/ionicons.min.css	(from https://rjsalas91.github.io/)
13:13:58	3351/3351	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-d17%22	https://rjsalas91.github.io/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/owlcarousel/assets/owl.carousel.min.css	(from https://rjsalas91.github.io/)
13:13:58	2608/2608	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-a30%22	https://rjsalas91.github.io/lib/lightbox/css/lightbox.min.css	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/lightbox/css/lightbox.min.css	(from https://rjsalas91.github.io/)
13:13:58	15350/15350	---M-Z	200	added ('OK')	text/css	etag:W/%225c7ebadd-3bf6%22	https://rjsalas91.github.io/css/style.min.css?v=1	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/css/style.min3860.css	(from https://rjsalas91.github.io/)
13:14:00	378735/378735	---M--	200	added ('OK')	image/jpeg	etag:%225c7ebadd-5c76f%22	https://rjsalas91.github.io/img/coding-924920_1920.jpg	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/coding-924920_1920.jpg	(from https://rjsalas91.github.io/)
13:14:00	236124/236124	---M--	200	added ('OK')	image/png	etag:%225c7ebadd-39a5c%22	https://rjsalas91.github.io/img/last-project-web.png	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/last-project-web.png	(from https://rjsalas91.github.io/)
13:14:00	37017/37017	---M--	200	added ('OK')	image/png	etag:%225c7ebadd-9099%22	https://rjsalas91.github.io/img/last-project-desktop.png	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/last-project-desktop.png	(from https://rjsalas91.github.io/)
13:14:00	109445/109445	---M--	200	added ('OK')	image/png	etag:%225c7ebadd-1ab85%22	https://rjsalas91.github.io/img/last-project-android.png	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/last-project-android.png	(from https://rjsalas91.github.io/)
13:14:01	204076/204076	---M--	200	added ('OK')	image/jpeg	etag:%225c7ebadd-31d2c%22	https://rjsalas91.github.io/img/overlay-bg.jpg	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/img/overlay-bg.jpg	(from https://rjsalas91.github.io/)
13:14:01	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-1538f%22	https://rjsalas91.github.io/lib/jquery/jquery.min.js	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/jquery/jquery.min.js	(from https://rjsalas91.github.io/)
13:14:01	7083/7083	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-1bab%22	https://rjsalas91.github.io/lib/jquery/jquery-migrate.min.js	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/jquery/jquery-migrate.min.js	(from https://rjsalas91.github.io/)
13:14:01	20973/20973	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-51ed%22	https://rjsalas91.github.io/lib/popper/popper.min.js	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/popper/popper.min.js	(from https://rjsalas91.github.io/)
13:14:02	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-c75f%22	https://rjsalas91.github.io/lib/bootstrap/js/bootstrap.min.js	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/bootstrap/js/bootstrap.min.js	(from https://rjsalas91.github.io/)
13:14:02	2302/2302	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-8fe%22	https://rjsalas91.github.io/lib/easing/easing.min.js	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/easing/easing.min.js	(from https://rjsalas91.github.io/)
13:14:02	11461/11461	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-2cc5%22	https://rjsalas91.github.io/lib/typed/typed.min.js	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/typed/typed.min.js	(from https://rjsalas91.github.io/)
13:14:03	763/763	---MC-	200	added ('OK')	text/javascript	date:Sat,%2016%20Nov%202019%2016:14:05%20GMT	https://www.google.com/recaptcha/api.js?render=6LfbdpUUAAAAAIqykqixxRU6eAQQdVJzbIuIAMTQ	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/www.google.com/recaptcha/apic86d.js	(from https://rjsalas91.github.io/)
13:14:03	1847/1847	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-737%22	https://rjsalas91.github.io/contactform/contactform.min.js?v=1	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/contactform/contactform.min3860.js	(from https://rjsalas91.github.io/)
13:14:04	1675/1675	---M-Z	200	added ('OK')	application/javascript	etag:W/%225c7ebadd-68b%22	https://rjsalas91.github.io/js/main.min.js?v=1	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/js/main.min3860.js	(from https://rjsalas91.github.io/)
13:14:05	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c7ebadd-2876e%22	https://rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css)
13:14:05	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c7ebadd-2876e%22	https://rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css)
13:14:05	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225c7ebadd-12d68%22	https://rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css)
13:14:06	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225c7ebadd-17ee8%22	https://rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css)
13:14:07	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%225c7ebadd-286ac%22	https://rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css)
13:14:07	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c7ebadd-6c7db%22	https://rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://rjsalas91.github.io/lib/font-awesome/css/font-awesome.min.css)
13:14:07	120724/120724	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225c7ebadd-1d794%22	https://rjsalas91.github.io/lib/ionicons/fonts/ionicons.eot?v=2.0.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/ionicons/fonts/ionicons28b5.eot	(from https://rjsalas91.github.io/lib/ionicons/css/ionicons.min.css)
13:14:07	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%225c7ebadd-2e05c%22	https://rjsalas91.github.io/lib/ionicons/fonts/ionicons.ttf?v=2.0.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/ionicons/fonts/ionicons28b5.ttf	(from https://rjsalas91.github.io/lib/ionicons/css/ionicons.min.css)
13:14:08	67904/67904	---M--	200	added ('OK')	font/woff	etag:%225c7ebadd-10940%22	https://rjsalas91.github.io/lib/ionicons/fonts/ionicons.woff?v=2.0.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/ionicons/fonts/ionicons28b5.woff	(from https://rjsalas91.github.io/lib/ionicons/css/ionicons.min.css)
13:14:08	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225c7ebadd-5180a%22	https://rjsalas91.github.io/lib/ionicons/fonts/ionicons.svg?v=2.0.0	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/ionicons/fonts/ionicons28b5.svg	(from https://rjsalas91.github.io/lib/ionicons/css/ionicons.min.css)
13:14:09	4976/4976	---M--	200	added ('OK')	image/png	etag:%225c7ebadd-1370%22	https://rjsalas91.github.io/lib/owlcarousel/assets/owl.video.play.png	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/owlcarousel/assets/owl.video.play.png	(from https://rjsalas91.github.io/lib/owlcarousel/assets/owl.carousel.min.css)
13:14:09	8476/8476	---M--	200	added ('OK')	image/gif	etag:%225c7ebadd-211c%22	https://rjsalas91.github.io/lib/lightbox/images/loading.gif	C:/Users/Maximo%20Carbajal/Desktop/websites-Files%20add/prueba/rjsalas91.github.io/lib/lightbox/images/loading.gif	(from https://rjsalas91.github.io/lib/lightbox/css/lightbox.min.css)
